Scanning bello_dataset/chordlab/ ...
Found 1217 .lab files

══════════════════════════════════════════════════════════════════════
UNIQUE HARTE LABELS  (total unique: 1519, total frames: 157,468)
══════════════════════════════════════════════════════════════════════
Label                             Count       %  Triad    7th    9th    11th  13th
A:maj/5                             335   0.21%  maj      N      N      N     N
D:maj7                              334   0.21%  maj      7      N      N     N
A:5                                 321   0.20%  5        N      N      N     N
Ab:maj7                             320   0.20%  maj      7      N      N     N
C:maj(9)                            316   0.20%  maj      b7     9      N     N
G:maj/5                             315   0.20%  maj      N      N      N     N
A:maj/3                             312   0.20%  maj      N      N      N     N
G:sus4                              300   0.19%  sus4     N      N      N     N
G#:min7                             298   0.19%  min      b7     N      N     N
Ab:min7                             298   0.19%  min      b7     N      N     N
D:5                                 298   0.19%  5        N      N      N     N
C:5                                 285   0.18%  5        N      N      N     N
C:sus4                              273   0.17%  sus4     N      N      N     N
G:maj(*3)                           270   0.17%  maj      N      N      N     N
D:maj(*3)                           253   0.16%  maj      N      N      N     N
A:1/1                               251   0.16%  maj      N      N      N     N
Gb:7                                248   0.16%  maj      b7     N      N     N
Eb:maj7                             230   0.15%  maj      7      N      N     N
D:sus4                              230   0.15%  sus4     N      N      N     N
D#:min                              221   0.14%  min      N      N      N     N
D:1/1                               219   0.14%  maj      N      N      N     N
B:1/1                               217   0.14%  maj      N      N      N     N
Bb:maj/3                            216   0.14%  maj      N      N      N     N
G:maj(9)                            214   0.14%  maj      b7     9      N     N
A:maj(*3)                           210   0.13%  maj      N      N      N     N
F:sus4                              209   0.13%  sus4     N      N      N     N
A:sus4                              205   0.13%  sus4     N      N      N     N
Ab:min                              205   0.13%  min      N      N      N     N
E:maj7                              200   0.13%  maj      7      N      N     N
E:maj/5                             199   0.13%  maj      N      N      N     N
F:maj(9)                            197   0.13%  maj      b7     9      N     N
G#:maj                              194   0.12%  maj      N      N      N     N
D:min/5                             193   0.12%  min      N      N      N     N
Bb:maj/5                            193   0.12%  maj      N      N      N     N
C:maj(*3)                           188   0.12%  maj      N      N      N     N
Db:maj7                             184   0.12%  maj      7      N      N     N
Eb:7(#9)                            183   0.12%  maj      b7     #9     N     N
F:5                                 180   0.11%  5        N      N      N     N
E:7(#9)                             180   0.11%  maj      b7     #9     N     N
A:maj7                              178   0.11%  maj      7      N      N     N
F#:5                                178   0.11%  5        N      N      N     N
Ab:maj/3                            177   0.11%  maj      N      N      N     N
E:maj(*3)                           176   0.11%  maj      N      N      N     N
D:maj6                              175   0.11%  maj      b7     9      N     13
Eb:maj/5                            172   0.11%  maj      N      N      N     N
C#:1/1                              167   0.11%  maj      N      N      N     N
D:maj(9)                            163   0.10%  maj      b7     9      N     N
E:5                                 162   0.10%  5        N      N      N     N
Db:maj/5                            159   0.10%  maj      N      N      N     N
A:maj6                              156   0.10%  maj      b7     9      N     13
E:min9                              156   0.10%  min      b7     9      N     N
G:sus4(b7)                          155   0.10%  sus4     b7     N      N     N
G:maj/2                             155   0.10%  maj      N      N      N     N
Cb:maj                              154   0.10%  maj      N      N      N     N
Eb:maj/3                            152   0.10%  maj      N      N      N     N
F:maj6                              151   0.10%  maj      b7     9      N     13
G:1/1                               151   0.10%  maj      N      N      N     N
D:maj/2                             149   0.09%  maj      N      N      N     N
C:maj/2                             148   0.09%  maj      N      N      N     N
Bb:maj/2                            145   0.09%  maj      N      N      N     N
Ab:1/1                              144   0.09%  maj      N      N      N     N
B:sus4(b7)                          143   0.09%  sus4     b7     N      N     N
Bb:maj6                             143   0.09%  maj      b7     9      N     13
E:9                                 140   0.09%  maj      b7     9      N     N
A:maj(9)                            139   0.09%  maj      b7     9      N     N
C#:7                                134   0.09%  maj      b7     N      N     N
A:min/4                             134   0.09%  min      N      N      N     N
A:sus4(b7)                          133   0.08%  sus4     b7     N      N     N
C:7(#9)                             133   0.08%  maj      b7     #9     N     N
Ab:maj/5                            132   0.08%  maj      N      N      N     N
A:11                                129   0.08%  maj      b7     9      11    N
B:sus4                              128   0.08%  sus4     N      N      N     N
B:5                                 127   0.08%  5        N      N      N     N
G:sus4(b7,9)                        127   0.08%  sus4     b7     9      N     N
F:maj/2                             126   0.08%  maj      N      N      N     N
Eb:13                               125   0.08%  maj      b7     9      N     13
C:1/1                               123   0.08%  maj      N      N      N     N
D:min/b3                            122   0.08%  min      N      N      N     N
Ab:maj6                             120   0.08%  maj      b7     9      N     13
B:maj7                              119   0.08%  maj      7      N      N     N
G:maj6                              118   0.07%  maj      b7     9      N     13
C:maj9                              117   0.07%  maj      7      9      N     N
D:maj/b7                            117   0.07%  maj      N      N      N     N
E:sus4(b7,9)                        115   0.07%  sus4     b7     9      N     N
A:maj/2                             114   0.07%  maj      N      N      N     N
E:sus4                              109   0.07%  sus4     N      N      N     N
Eb:sus4                             109   0.07%  sus4     N      N      N     N
D:sus4(b7)                          107   0.07%  sus4     b7     N      N     N
Db:min7                             106   0.07%  min      b7     N      N     N
Bb:1/1                              105   0.07%  maj      N      N      N     N
C:maj6                              105   0.07%  maj      b7     9      N     13
E:min/b3                            104   0.07%  min      N      N      N     N
B:min/b7                            101   0.06%  min      N      N      N     N
X                                   101   0.06%  N        N      N      N     N
F:min7/5                            100   0.06%  min      b7     N      N     N
F#:1/1                               97   0.06%  maj      N      N      N     N
E:sus4(b7)                           97   0.06%  sus4     b7     N      N     N
E:maj/b7                             97   0.06%  maj      N      N      N     N
C#:min9                              97   0.06%  min      b7     9      N     N
F:maj(*3)                            97   0.06%  maj      N      N      N     N
B:maj/5                              96   0.06%  maj      N      N      N     N
F#:sus4                              94   0.06%  sus4     N      N      N     N
Bb:maj(*3)                           94   0.06%  maj      N      N      N     N
C:sus4(b7)                           93   0.06%  sus4     b7     N      N     N
Gb:maj7                              93   0.06%  maj      7      N      N     N
Db:maj6                              92   0.06%  maj      b7     9      N     13
Ab:7(#9)                             92   0.06%  maj      b7     #9     N     N
Db:maj(*3)                           91   0.06%  maj      N      N      N     N
D#:min7                              90   0.06%  min      b7     N      N     N
F#:sus4(b7,9)                        90   0.06%  sus4     b7     9      N     N
A:sus2                               90   0.06%  sus2     N      N      N     N
F#:sus4(b7)                          89   0.06%  sus4     b7     N      N     N
A:maj9                               89   0.06%  maj      7      9      N     N
C:maj/4                              89   0.06%  maj      N      N      N     N
A:min/b3                             89   0.06%  min      N      N      N     N
Db:maj(9)                            88   0.06%  maj      b7     9      N     N
Db:maj/3                             87   0.06%  maj      N      N      N     N
G:min/5                              86   0.05%  min      N      N      N     N
E:min/b7                             86   0.05%  min      N      N      N     N
E:aug(b7)                            86   0.05%  aug      b7     N      N     N
D:sus2                               84   0.05%  sus2     N      N      N     N
F:7(#9)                              84   0.05%  maj      b7     #9     N     N
A:min/b7                             83   0.05%  min      N      N      N     N
Fb:maj                               82   0.05%  maj      N      N      N     N
B:maj(*3)                            82   0.05%  maj      N      N      N     N
A:maj/4                              82   0.05%  maj      N      N      N     N
Eb:min11                             82   0.05%  min      b7     9      11    N
A:min7/b7                            81   0.05%  min      b7     N      N     N
Eb:1/1                               79   0.05%  maj      N      N      N     N
D:maj/7                              79   0.05%  maj      N      N      N     N
Bb:sus4                              78   0.05%  sus4     N      N      N     N
G:maj9                               77   0.05%  maj      7      9      N     N
F#:maj6                              77   0.05%  maj      b7     9      N     13
D:sus4(b7,9)                         76   0.05%  sus4     b7     9      N     N
B:9                                  76   0.05%  maj      b7     9      N     N
A:sus4(b7,9)                         75   0.05%  sus4     b7     9      N     N
  ... (1319 more labels not shown)

══════════════════════════════════════════════════════════════════════
UNIQUE DESCRIPTORS  (total: 199)
══════════════════════════════════════════════════════════════════════
Descriptor                  Frames  Triad    7th    9th    11th  13th
──────────────────────────────────────────────────────────────────────
maj                         80,629  maj      N      N      N     N
min                         20,231  min      N      N      N     N
7                           12,137  maj      b7     N      N     N
min7                        11,976  min      b7     N      N     N
N                            5,177  N        N      N      N     N
maj7                         3,790  maj      7      N      N     N
5                            2,139  5        N      N      N     N
1                            2,083  maj      N      N      N     N
sus4                         1,935  sus4     N      N      N     N
maj(*3)                      1,827  maj      N      N      N     N
maj6                         1,632  maj      b7     9      N     13
maj(9)                       1,520  maj      b7     9      N     N
sus4(b7)                     1,083  sus4     b7     N      N     N
sus4(b7,9)                     871  sus4     b7     9      N     N
min9                           773  min      b7     9      N     N
7(#9)                          767  maj      b7     #9     N     N
9                              750  maj      b7     9      N     N
maj9                           688  maj      7      9      N     N
sus2                           528  sus2     N      N      N     N
dim                            482  dim      N      N      N     N
11                             412  maj      b7     9      11    N
min6                           371  min      b7     9      N     13
13                             313  maj      b7     9      N     13
min11                          274  min      b7     9      11    N
maj(*3,*5)                     266  maj      N      N      N     N
hdim7                          265  dim      bb7    N      N     N
maj(2)                         253  maj      N      N      N     N
aug                            242  aug      N      N      N     N
maj6(9)                        240  maj      b7     9      N     13
min(9)                         224  min      b7     9      N     N
5(b7)                          201  5        b7     N      N     N
(1)                            192  5        N      N      N     N
min(*b3)                       171  min      N      N      N     N
(1,5)                          167  5        N      N      N     N
maj(4)                         156  maj      N      N      N     N
min(*b3,*5)                    152  min      N      N      N     N
7(b9)                          147  maj      b7     b9     N     N
aug(b7)                        121  aug      b7     N      N     N
dim7                           112  dim      bb7    N      N     N
sus4(9)                        108  sus4     b7     9      N     N
X                              101  N        N      N      N     N
min7(11)                        91  min      b7     9      11    N
min7(4)                         90  min      b7     N      N     N
min7(9)                         86  min      b7     9      N     N
maj13                           82  maj      7      9      N     13
min(11)                         79  min      b7     9      11    N
maj(11)                         68  maj      b7     9      11    N
minmaj7                         60  min      7      N      N     N
sus4(b7,9,13)                   51  sus4     b7     9      N     13
maj7(#11)                       48  maj      7      9      #11   N
sus2(b7)                        47  sus2     b7     N      N     N
(1,*3,*5)                       47  maj      N      N      N     N
7(*3)                           45  maj      b7     N      N     N
min(b13)                        44  min      b7     9      N     b13
(1,2,4,5)                       44  5        N      N      N     N
maj(#9)                         43  maj      b7     #9     N     N
maj(*3,9)                       43  maj      b7     9      N     N
maj(6)                          41  maj      b7     9      N     13
(11)                            40  5        b7     9      11    N
7(#11)                          38  maj      b7     9      #11   N
maj(*5)                         35  maj      N      N      N     N
(b7)                            31  5        b7     N      N     N
sus2(4)                         24  sus2     N      N      N     N
min(*b3,9)                      24  min      b7     9      N     N
min(2)                          23  min      N      N      N     N
7(b13)                          22  maj      b7     9      N     b13
maj9(13,#11)                    22  maj      b7     9      #11   13
maj(#11)                        22  maj      b7     9      #11   N
maj(*1)                         21  maj      N      N      N     N
maj6(b7)                        21  maj      b7     9      N     13
maj7(9)                         20  maj      7      9      N     N
7(4)                            20  maj      b7     N      N     N
(b3,b7,11,9)                    19  min      b7     9      11    N
sus4(2)                         17  sus4     N      N      N     N
min7(*b3)                       17  min      b7     N      N     N
min(*5)                         17  min      N      N      N     N
min7(b5)                        17  min      b7     N      N     N
min6(4)                         16  min      b7     9      N     13
7(13)                           16  maj      b7     9      N     13
(1,b3,b5,6)                     15  dim      b7     9      N     13
(3)                             14  maj      N      N      N     N
(b3,b7)                         14  min      b7     N      N     N
min(7)                          14  min      b7     N      N     N
(b5,b7,3)                       14  maj      b7     N      N     N
9(13,#11)                       14  maj      b7     9      #11   13
maj(b9)                         13  maj      b7     b9     N     N
min(6)                          13  min      b7     9      N     13
maj7(*3)                        13  maj      7      N      N     N
7(b9,b13)                       12  maj      b7     b9     N     b13
(1,4)                           12  5        N      N      N     N
min7(*5)                        11  min      b7     N      N     N
min6(*b3)                       10  min      b7     9      N     13
maj(b5)                         10  maj      N      N      N     N
maj6(7)                          9  maj      7      9      N     13
9(#11)                           9  maj      b7     9      #11   N
9(*3)                            9  maj      b7     9      N     N
7(*3,4)                          8  maj      b7     N      N     N
5(b13)                           8  5        b7     9      N     b13
maj9(#11)                        8  maj      b7     9      #11   N
7(9)                             8  maj      b7     9      N     N
9(11)                            7  maj      b7     9      11    N
(1,2,#4,6)                       7  5        b7     9      N     13
maj(2,*3)                        7  maj      N      N      N     N
7(11)                            7  maj      b7     9      11    N
min7(b13)                        7  min      b7     9      N     b13
maj(#4)                          6  maj      N      N      N     N
min7(*1,*5)                      6  min      b7     N      N     N
maj(b13)                         6  maj      b7     9      N     b13
(#5)                             5  aug      N      N      N     N
7(b2)                            5  maj      b7     N      N     N
min13                            5  min      b7     9      N     13
maj6(7,#11)                      5  maj      7      9      #11   13
maj(*3,6)                        4  maj      b7     9      N     13
maj6(#11)                        4  maj      b7     9      #11   13
9(b13)                           4  maj      b7     9      N     b13
maj6(b7,11)                      4  maj      b7     9      11    13
(b5,11)                          4  5        b7     9      11    N
aug(7)                           4  aug      b7     N      N     N
min7(2,*b3,4)                    4  min      b7     N      N     N
maj7(b7)                         4  maj      b7     N      N     N
maj6(2)                          4  maj      b7     9      N     13
maj(*3,b6)                       4  maj      b7     9      N     b13
9(13)                            3  maj      b7     9      N     13
dim(b13)                         3  dim      b7     9      N     b13
min(4)                           3  min      N      N      N     N
(6)                              3  5        b7     9      N     13
min7(*b3,*5)                     3  min      b7     N      N     N
min7(*5,b6)                      3  min      b7     9      N     b13
maj9(13)                         3  maj      b7     9      N     13
maj7(2)                          3  maj      7      N      N     N
(11,9)                           3  5        b7     9      11    N
min(b9)                          3  min      b7     b9     N     N
7(b13,#9)                        2  maj      b7     #9     N     b13
min6(#11)                        2  min      b7     9      #11   13
sus2(6,b7)                       2  sus2     b7     9      N     13
(1,5,9)                          2  5        b7     9      N     N
aug(9)                           2  aug      b7     9      N     N
(1,4,b7)                         2  5        b7     N      N     N
min(11,9)                        2  min      b7     9      11    N
(3,7)                            2  maj      b7     N      N     N
min9(b13)                        2  min      b7     9      N     b13
sus4(b7,9,#11)                   2  sus4     b7     9      #11   N
maj6(b9)                         2  maj      b7     b9     N     13
(1,b7)                           2  5        b7     N      N     N
aug(b7,b9)                       2  aug      b7     b9     N     N
7(b9,#11)                        2  maj      b7     b9     #11   N
maj(13)                          2  maj      b7     9      N     13
5(13)                            2  5        b7     9      N     13
min6(7)                          2  min      b7     9      N     13
11(b9,b13)                       2  maj      b7     b9     11    b13
maj6(4)                          2  maj      b7     9      N     13
(13)                             2  maj      b7     9      N     13
(1,b3)                           2  min      N      N      N     N
min7(2)                          2  min      b7     N      N     N
7(b5,*5)                         2  maj      b7     N      N     N
maj9(*7)                         1  maj      7      9      N     N
11(13)                           1  maj      b7     9      11    13
9(11,13)                         1  maj      b7     9      11    13
(1,2,4)                          1  5        N      N      N     N
maj(*3,b5)                       1  maj      N      N      N     N
maj(6,9)                         1  maj      b7     9      N     13
(1,b3,4)                         1  min      N      N      N     N
(b3,5)                           1  min      N      N      N     N
7(b9,#9)                         1  maj      b7     #9     N     N
7(4,b5)                          1  maj      b7     N      N     N
min(*3)                          1  min      N      N      N     N
maj7(*b5)                        1  maj      7      N      N     N
(1,4,b5)                         1  5        N      N      N     N
maj7(*5)                         1  maj      7      N      N     N
(1,2,5,b6)                       1  5        b7     9      N     b13
sus4(b13,b7)                     1  sus4     b7     9      N     b13
(7)                              1  5        b7     N      N     N
(4,b7,9)                         1  5        b7     9      N     N
9(*3,11)                         1  maj      b7     9      11    N
(1,3,b5)                         1  maj      N      N      N     N
maj7(#9)                         1  maj      7      #9     N     N
9(b5)                            1  maj      b7     9      N     N
7(4,#9)                          1  maj      b7     #9     N     N
13(#11)                          1  maj      b7     9      #11   13
maj(*1,*5)                       1  maj      N      N      N     N
maj(*1,*3)                       1  maj      N      N      N     N
sus4(7)                          1  sus4     b7     N      N     N
9(*3,4)                          1  maj      b7     9      N     N
min(b6)                          1  min      b7     9      N     b13
aug(b7,9)                        1  aug      b7     9      N     N
aug(9,11)                        1  aug      b7     9      11    N
7(*5,13)                         1  maj      b7     9      N     13
maj7(#5)                         1  aug      7      N      N     N
min6(9)                          1  min      b7     9      N     13
min6(b7)                         1  min      b7     9      N     13
sus2(6)                          1  sus2     b7     9      N     13
dim(*b3)                         1  dim      N      N      N     N
maj(9,#11)                       1  maj      b7     9      #11   N
(5)                              1  5        N      N      N     N
maj6(b2)                         1  maj      b7     9      N     13
sus2(#11)                        1  sus2     b7     9      #11   N
(b3)                             1  min      N      N      N     N
min(13)                          1  min      b7     9      N     13
min7(13)                         1  min      b7     9      N     13

══════════════════════════════════════════════════════════════════════
TRIAD CLASS DISTRIBUTION (after _infer_triad)
══════════════════════════════════════════════════════════════════════
  maj       100,630  63.91%
  min        30,674  19.48%
  N           5,278   3.35%
  sus4        3,035   1.93%
  5           1,897   1.20% ← NOT IN PAPER VOCAB
  sus2          174   0.11%
  aug            86   0.05%

══════════════════════════════════════════════════════════════════════
EXTENSION HEAD DISTRIBUTIONS
══════════════════════════════════════════════════════════════════════

  7th:
    N       110,484  70.16%
    b7       27,556  17.50%
    7         3,734   2.37%

  9th:
    N       137,277  87.18%
    9         3,825   2.43%
    #9          672   0.43%

  11th:
    N       141,563  89.90%
    11          211   0.13%

  13th:
    N       140,512  89.23%
    13        1,262   0.80%

══════════════════════════════════════════════════════════════════════
COMPARISON: Your implementation vs. ChordFormer paper vocab
══════════════════════════════════════════════════════════════════════

── Triad vocab ─────────────────────────────────────────────────────
  Paper defines:  ['N', 'augmented', 'diminished', 'major', 'minor', 'sus2', 'sus4']
  Your code has:  ['5', 'N', 'aug', 'dim', 'maj', 'min', 'sus2', 'sus4']
  [!] In your code but NOT paper:  {'5'}
      '5' appears 1897 times in dataset

── 7th vocab ────────────────────────────────────────────────
  ✓ Match: ['7', 'N', 'b7', 'bb7']

── 9th vocab ────────────────────────────────────────────────
  ✓ Match: ['#9', '9', 'N', 'b9']

── 11th vocab ────────────────────────────────────────────────
  ✓ Match: ['#11', '11', 'N']

── 13th vocab ────────────────────────────────────────────────
  ✓ Match: ['13', 'N', 'b13']

══════════════════════════════════════════════════════════════════════
LABELS WITH POTENTIALLY AMBIGUOUS PARSING
══════════════════════════════════════════════════════════════════════
Label                          Count  Triad       7     9   11   13  Issue
──────────────────────────────────────────────────────────────────────────────────────────
D:maj6                           175  maj        b7     9    N   13  6th chord: 7th should be N
A:maj6                           156  maj        b7     9    N   13  6th chord: 7th should be N
F:maj6                           151  maj        b7     9    N   13  6th chord: 7th should be N
Bb:maj6                          143  maj        b7     9    N   13  6th chord: 7th should be N
Ab:maj6                          120  maj        b7     9    N   13  6th chord: 7th should be N
G:maj6                           118  maj        b7     9    N   13  6th chord: 7th should be N
C:maj6                           105  maj        b7     9    N   13  6th chord: 7th should be N
Db:maj6                           92  maj        b7     9    N   13  6th chord: 7th should be N
F#:maj6                           77  maj        b7     9    N   13  6th chord: 7th should be N
E:maj6                            71  maj        b7     9    N   13  6th chord: 7th should be N
Eb:maj6                           69  maj        b7     9    N   13  6th chord: 7th should be N
B:maj6                            63  maj        b7     9    N   13  6th chord: 7th should be N
Gb:maj6                           57  maj        b7     9    N   13  6th chord: 7th should be N
D:maj6(9)                         47  maj        b7     9    N   13  6th chord: 7th should be N
Bb:maj6(9)                        44  maj        b7     9    N   13  6th chord: 7th should be N
E:maj6(9)                         42  maj        b7     9    N   13  6th chord: 7th should be N
D:hdim7                           41  dim       bb7     N    N    N  hdim→dim collision
G:maj6/5                          29  maj        b7     9    N   13  6th chord: 7th should be N
C:hdim7                           28  dim       bb7     N    N    N  hdim→dim collision
E:hdim7                           25  dim       bb7     N    N    N  hdim→dim collision
Bb:maj6/5                         24  maj        b7     9    N   13  6th chord: 7th should be N
Gb:maj6(9)                        22  maj        b7     9    N   13  6th chord: 7th should be N
Db:maj6/5                         21  maj        b7     9    N   13  6th chord: 7th should be N
G#:hdim7                          21  dim       bb7     N    N    N  hdim→dim collision
Db:maj6(9)                        21  maj        b7     9    N   13  6th chord: 7th should be N
C:maj6(9)                         19  maj        b7     9    N   13  6th chord: 7th should be N
A:hdim7                           19  dim       bb7     N    N    N  hdim→dim collision
F#:hdim7                          18  dim       bb7     N    N    N  hdim→dim collision
B:maj6(b7)                        15  maj        b7     9    N   13  6th chord: 7th should be N
E:maj6/6                          14  maj        b7     9    N   13  6th chord: 7th should be N
F:maj6/2                          14  maj        b7     9    N   13  6th chord: 7th should be N
C#:hdim7                          13  dim       bb7     N    N    N  hdim→dim collision
G:maj6/3                          13  maj        b7     9    N   13  6th chord: 7th should be N
F:hdim7                           12  dim       bb7     N    N    N  hdim→dim collision
E:hdim7/b7                        12  dim       bb7     N    N    N  hdim→dim collision
F:maj6(9)                         11  maj        b7     9    N   13  6th chord: 7th should be N
B:maj6/3                           9  maj        b7     9    N   13  6th chord: 7th should be N
A:maj6/5                           9  maj        b7     9    N   13  6th chord: 7th should be N
G:maj6/2                           9  maj        b7     9    N   13  6th chord: 7th should be N
Eb:maj6(9)                         8  maj        b7     9    N   13  6th chord: 7th should be N
B:hdim7/b7                         8  dim       bb7     N    N    N  hdim→dim collision
D:maj6/2                           8  maj        b7     9    N   13  6th chord: 7th should be N
Cb:maj6                            7  maj        b7     9    N   13  6th chord: 7th should be N
B:hdim7                            7  dim       bb7     N    N    N  hdim→dim collision
G:maj6/b5                          7  maj        b7     9    N   13  6th chord: 7th should be N
D:maj6/3                           7  maj        b7     9    N   13  6th chord: 7th should be N
F:maj6/5                           6  maj        b7     9    N   13  6th chord: 7th should be N
Eb:hdim7/b7                        6  dim       bb7     N    N    N  hdim→dim collision
A:maj6(9)                          6  maj        b7     9    N   13  6th chord: 7th should be N
D:maj6/5                           6  maj        b7     9    N   13  6th chord: 7th should be N
D:maj6(9)/5                        5  maj        b7     9    N   13  6th chord: 7th should be N
Bb:hdim7/b5                        5  dim       bb7     N    N    N  hdim→dim collision
D#:hdim7                           5  dim       bb7     N    N    N  hdim→dim collision
D:maj6/6                           5  maj        b7     9    N   13  6th chord: 7th should be N
Bb:maj6(7,#11)                     5  maj         7     9  #11   13  6th chord: 7th should be N
Db:hdim7                           4  dim       bb7     N    N    N  hdim→dim collision
Gb:maj6(#11)                       4  maj        b7     9  #11   13  6th chord: 7th should be N
Ab:maj6(9)                         4  maj        b7     9    N   13  6th chord: 7th should be N
Ab:maj6/2                          4  maj        b7     9    N   13  6th chord: 7th should be N
D:maj6(b7,11)                      4  maj        b7     9   11   13  6th chord: 7th should be N
C:maj6/6                           4  maj        b7     9    N   13  6th chord: 7th should be N
F:maj6(9)/3                        4  maj        b7     9    N   13  6th chord: 7th should be N
C#:maj6/3                          4  maj        b7     9    N   13  6th chord: 7th should be N
C:maj6(2)/2                        4  maj        b7     9    N   13  6th chord: 7th should be N
G:maj6(7)                          3  maj         7     9    N   13  6th chord: 7th should be N
E:hdim7/b5                         3  dim       bb7     N    N    N  hdim→dim collision
Db:maj6(9)/5                       3  maj        b7     9    N   13  6th chord: 7th should be N
B:maj6/5                           3  maj        b7     9    N   13  6th chord: 7th should be N
F:hdim7/b7                         3  dim       bb7     N    N    N  hdim→dim collision
Ab:maj6/5                          3  maj        b7     9    N   13  6th chord: 7th should be N
F#:hdim7/b5                        3  dim       bb7     N    N    N  hdim→dim collision
D:hdim7/b7                         3  dim       bb7     N    N    N  hdim→dim collision
F#:maj6/5                          3  maj        b7     9    N   13  6th chord: 7th should be N
E:hdim7/b3                         3  dim       bb7     N    N    N  hdim→dim collision
G:maj6(9)                          3  maj        b7     9    N   13  6th chord: 7th should be N
G:hdim7                            3  dim       bb7     N    N    N  hdim→dim collision
Ab:hdim7                           3  dim       bb7     N    N    N  hdim→dim collision
A#:hdim7                           3  dim       bb7     N    N    N  hdim→dim collision
F#:hdim7/b7                        3  dim       bb7     N    N    N  hdim→dim collision
Ab:maj6/4                          3  maj        b7     9    N   13  6th chord: 7th should be N
G:maj6(b7)                         3  maj        b7     9    N   13  6th chord: 7th should be N
Bb:hdim7                           2  dim       bb7     N    N    N  hdim→dim collision
E:maj6/b7                          2  maj        b7     9    N   13  6th chord: 7th should be N
G:maj6/6                           2  maj        b7     9    N   13  6th chord: 7th should be N
A:maj6/3                           2  maj        b7     9    N   13  6th chord: 7th should be N
Gb:maj6(b7)                        2  maj        b7     9    N   13  6th chord: 7th should be N
C:maj6(7)                          2  maj         7     9    N   13  6th chord: 7th should be N
B:maj6(b9)                         2  maj        b7    b9    N   13  6th chord: 7th should be N
B:hdim7/b3                         2  dim       bb7     N    N    N  hdim→dim collision
